icd_code	label	definition	synonym	grouped_synonym
ICD10CM:L85.1	Acquired keratosis [keratoderma] palmaris et plantaris		Acquired keratosis [keratoderma] palmaris et plantaris	Acquired keratosis [keratoderma] palmaris et plantaris
ICD10CM:Z91.51	Personal history of suicidal behavior		Personal history of parasuicide	Personal history of parasuicide, Personal history of self-poisoning, Personal history of suicidal behavior, Personal history of suicide attempt
ICD10CM:L98.0	Pyogenic granuloma		Pyogenic granuloma	Pyogenic granuloma
ICD10CM:L02.212	Cutaneous abscess of back [any part, except buttock]		Cutaneous abscess of back [any part, except buttock]	Cutaneous abscess of back [any part, except buttock], cutaneous abscess of back
ICD10CM:Z12.89	Encounter for screening for malignant neoplasm of other sites		Encounter for screening for malignant neoplasm of other sites	Encounter for screening for malignant neoplasm of other sites
ICD10CM:J35.8	Other chronic diseases of tonsils and adenoids		Adenoid vegetations	Adenoid vegetations, Amygdalolith, Calculus, tonsil, Cicatrix of tonsil (and adenoid), Other chronic diseases of tonsils and adenoids, Tonsillar tag, Ulcer of tonsil, cicatrix of tonsil
ICD10CM:H92.21	Otorrhagia, right ear		Otorrhagia, right ear	Otorrhagia, right ear
ICD10CM:I36.1	Nonrheumatic tricuspid (valve) insufficiency		Nonrheumatic tricuspid (valve) incompetence	Nonrheumatic tricuspid (valve) incompetence, Nonrheumatic tricuspid (valve) insufficiency, Nonrheumatic tricuspid (valve) regurgitation
ICD10CM:Z01.110	Encounter for hearing examination following failed hearing screening		Encounter for hearing examination following failed hearing screening	Encounter for hearing examination following failed hearing screening
ICD10CM:Y73.2	Prosthetic and other implants, materials and accessory gastroenterology and urology devices associated with adverse incidents		Prosthetic and other implants, materials and accessory gastroenterology and urology devices associated with adverse incidents	Prosthetic and other implants, materials and accessory gastroenterology and urology devices associated with adverse incidents
ICD10CM:H53.002	Unspecified amblyopia, left eye		Unspecified amblyopia, left eye	Unspecified amblyopia, left eye
ICD10CM:D64.89	Other specified anemias		Infantile pseudoleukemia	Infantile pseudoleukemia, Other specified anemias
ICD10CM:Z83.79	Family history of other diseases of the digestive system		Family history of other diseases of the digestive system	Family history of other diseases of the digestive system
ICD10CM:Z12.5	Encounter for screening for malignant neoplasm of prostate		Encounter for screening for malignant neoplasm of prostate	Encounter for screening for malignant neoplasm of prostate
ICD10CM:N41.9	Inflammatory disease of prostate, unspecified		Inflammatory disease of prostate, unspecified	Inflammatory disease of prostate, unspecified, Prostatitis NOS
ICD10CM:Y82.9	Unspecified medical devices associated with adverse incidents		Unspecified medical devices associated with adverse incidents	Unspecified medical devices associated with adverse incidents
ICD10CM:T36.8X5A	Adverse effect of other systemic antibiotics, initial encounter		Adverse effect of other systemic antibiotics, initial encounter	Adverse effect of other systemic antibiotics, initial encounter
ICD10CM:W54.0XXA	Bitten by dog, initial encounter		Bitten by dog, initial encounter	Bitten by dog, initial encounter
ICD10CM:A41.89	Other specified sepsis		Other specified sepsis	Other specified sepsis
ICD10CM:E80.7	Disorder of bilirubin metabolism, unspecified		Disorder of bilirubin metabolism, unspecified	Disorder of bilirubin metabolism, unspecified
ICD10CM:Z68.54	Body mass index [BMI] pediatric, greater than or equal to 95th percentile for age		Body mass index [BMI] pediatric, greater than or equal to 95th percentile for age	Body mass index [BMI] pediatric, greater than or equal to 95th percentile for age
ICD10CM:J38.2	Nodules of vocal cords		Chorditis (fibrinous)(nodosa)(tuberosa)	Chorditis (fibrinous)(nodosa)(tuberosa), Nodules of vocal cords, Singer's nodes, Teacher's nodes, chorditis
ICD10CM:Z43.1	Encounter for attention to gastrostomy		Encounter for attention to gastrostomy	Encounter for attention to gastrostomy
ICD10CM:R53.82	Chronic fatigue, unspecified		Chronic fatigue syndrome NOS	Chronic fatigue syndrome NOS, Chronic fatigue, unspecified
ICD10CM:L97.511	Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin		Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin	Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin
ICD10CM:K03.6	Deposits [accretions] on teeth		Betel deposits [accretions] on teeth	Betel deposits [accretions] on teeth, Black deposits [accretions] on teeth, Deposits [accretions] on teeth, Extrinsic staining of teeth NOS, Green deposits [accretions] on teeth, Materia alba deposits [accretions] on teeth, Orange deposits [accretions] on teeth, Staining of teeth NOS, Subgingival dental calculus, Supragingival dental calculus, Tobacco deposits [accretions] on teeth
ICD10CM:M20.31	Hallux varus (acquired), right foot		Hallux varus (acquired), right foot	Hallux varus (acquired), right foot
ICD10CM:Z18.89	Other specified retained foreign body fragments		Other specified retained foreign body fragments	Other specified retained foreign body fragments
ICD10CM:R46.4	Slowness and poor responsiveness		Slowness and poor responsiveness	Slowness and poor responsiveness
ICD10CM:Z68.28	Body mass index [BMI] 28.0-28.9, adult		Body mass index [BMI] 28.0-28.9, adult	Body mass index [BMI] 28.0-28.9, adult
ICD10CM:H31.013	Macula scars of posterior pole (postinflammatory) (post-traumatic), bilateral		Macula scars of posterior pole (postinflammatory) (post-traumatic), bilateral	Macula scars of posterior pole (postinflammatory) (post-traumatic), bilateral
ICD10CM:M43.02	Spondylolysis, cervical region		Spondylolysis, cervical region	Spondylolysis, cervical region
ICD10CM:R63.3	Feeding difficulties		Feeding difficulties	Feeding difficulties
ICD10CM:S63.641A	Sprain of metacarpophalangeal joint of right thumb, initial encounter		Sprain of metacarpophalangeal joint of right thumb, initial encounter	Sprain of metacarpophalangeal joint of right thumb, initial encounter
ICD10CM:S83.522A	Sprain of posterior cruciate ligament of left knee, initial encounter		Sprain of posterior cruciate ligament of left knee, initial encounter	Sprain of posterior cruciate ligament of left knee, initial encounter
ICD10CM:K43.6	Other and unspecified ventral hernia with obstruction, without gangrene		Epigastric hernia causing obstruction, without gangrene	Epigastric hernia causing obstruction, without gangrene, Hypogastric hernia causing obstruction, without gangrene, Incarcerated epigastric hernia without gangrene, Incarcerated hypogastric hernia without gangrene, Incarcerated midline hernia without gangrene, Incarcerated spigelian hernia without gangrene, Incarcerated subxiphoid hernia without gangrene, Irreducible epigastric hernia without gangrene, Irreducible hypogastric hernia without gangrene, Irreducible midline hernia without gangrene, Irreducible spigelian hernia without gangrene, Irreducible subxiphoid hernia without gangrene, Midline hernia causing obstruction, without gangrene, Other and unspecified ventral hernia with obstruction, without gangrene, Spigelian hernia causing obstruction, without gangrene, Strangulated epigastric hernia without gangrene, Strangulated hypogastric hernia without gangrene, Strangulated midline hernia without gangrene, Strangulated spigelian hernia without gangrene, Strangulated subxiphoid hernia without gangrene, Subxiphoid hernia causing obstruction, without gangrene
ICD10CM:L72.0	Epidermal cyst		Epidermal cyst	Epidermal cyst
ICD10CM:G93.40	Encephalopathy, unspecified		Encephalopathy, unspecified	Encephalopathy, unspecified
ICD10CM:R06.00	Dyspnea, unspecified		Dyspnea, unspecified	Dyspnea, unspecified
ICD10CM:T88.8XXA	Other specified complications of surgical and medical care, not elsewhere classified, initial encounter		Other specified complications of surgical and medical care, not elsewhere classified, initial encounter	Other specified complications of surgical and medical care, not elsewhere classified, initial encounter
ICD10CM:Z93.4	Other artificial openings of gastrointestinal tract status		Other artificial openings of gastrointestinal tract status	Other artificial openings of gastrointestinal tract status
ICD10CM:N89.6	Tight hymenal ring		Rigid hymen	Rigid hymen, Tight hymenal ring, Tight introitus
ICD10CM:I83.91	Asymptomatic varicose veins of right lower extremity		Asymptomatic varicose veins of right lower extremity	Asymptomatic varicose veins of right lower extremity
ICD10CM:S63.8X1A	Sprain of other part of right wrist and hand, initial encounter		Sprain of other part of right wrist and hand, initial encounter	Sprain of other part of right wrist and hand, initial encounter
ICD10CM:I45.89	Other specified conduction disorders		Atrioventricular [AV] dissociation	Atrioventricular [AV] dissociation, Interference dissociation, Isorhythmic dissociation, Nonparoxysmal AV nodal tachycardia, Other specified conduction disorders
ICD10CM:S93.144A	Subluxation of metatarsophalangeal joint of right lesser toe(s), initial encounter		Subluxation of metatarsophalangeal joint of right lesser toe(s), initial encounter	Subluxation of metatarsophalangeal joint of right lesser toe(s), initial encounter
ICD10CM:N89.8	Other specified noninflammatory disorders of vagina		Leukorrhea NOS	Leukorrhea NOS, Old vaginal laceration, Other specified noninflammatory disorders of vagina, Pessary ulcer of vagina
ICD10CM:M20.11	Hallux valgus (acquired), right foot		Hallux valgus (acquired), right foot	Hallux valgus (acquired), right foot
ICD10CM:Y92.39	Other specified sports and athletic area as the place of occurrence of the external cause		Golf-course as the place of occurrence of the external cause	Golf-course as the place of occurrence of the external cause, Gymnasium as the place of occurrence of the external cause, Other specified sports and athletic area as the place of occurrence of the external cause, Riding-school as the place of occurrence of the external cause, Stadium as the place of occurrence of the external cause
ICD10CM:N63.0	Unspecified lump in unspecified breast		Unspecified lump in unspecified breast	Unspecified lump in unspecified breast
ICD10CM:R41.9	Unspecified symptoms and signs involving cognitive functions and awareness		Unspecified neurocognitive disorder	Unspecified neurocognitive disorder, Unspecified symptoms and signs involving cognitive functions and awareness
ICD10CM:K04.7	Periapical abscess without sinus		Dental abscess without sinus	Dental abscess without sinus, Dentoalveolar abscess without sinus, Periapical abscess without sinus
ICD10CM:T38.0X5S	Adverse effect of glucocorticoids and synthetic analogues, sequela		Adverse effect of glucocorticoids and synthetic analogues, sequela	Adverse effect of glucocorticoids and synthetic analogues, sequela
ICD10CM:Z96.649	Presence of unspecified artificial hip joint		Presence of unspecified artificial hip joint	Presence of unspecified artificial hip joint
ICD10CM:D69.2	Other nonthrombocytopenic purpura		Other nonthrombocytopenic purpura	Other nonthrombocytopenic purpura, Purpura NOS, Purpura simplex, Senile purpura
ICD10CM:E87.79	Other fluid overload		Other fluid overload	Other fluid overload
ICD10CM:Y92.008	Other place in unspecified non-institutional (private) residence as the place of occurrence of the external cause		Other place in unspecified non-institutional (private) residence as the place of occurrence of the external cause	Other place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
ICD10CM:R63.8	Other symptoms and signs concerning food and fluid intake		Other symptoms and signs concerning food and fluid intake	Other symptoms and signs concerning food and fluid intake
